ev_id,station_id,arrival_time,departure_deadline,battery_capacity_kWh,initial_soc,target_soc,max_charging_power_kW,energy_required_kWh,minimum_charging_time_h,flexibility_buffer_h,scenario
EV_b22b1b19,ST004,2025-04-01 00:07:17,2025-04-01 06:17:02,47.82,40.98,85.84,7,21.46,3.07,3.1,normal_demand
EV_83a5ac99,ST011,2025-04-01 00:07:57,2025-04-01 04:54:07,57.76,46.84,84.1,7,21.52,3.07,1.7,normal_demand
EV_c7a88d63,ST012,2025-04-01 00:10:00,2025-04-01 05:19:04,32.57,14.83,97.64,7,26.97,3.85,1.3,normal_demand
EV_3056e464,ST007,2025-04-01 00:13:14,2025-04-01 05:41:22,99.3,15.28,98.36,22,82.49,3.75,1.72,normal_demand
EV_945f75e4,ST009,2025-04-01 00:15:36,2025-04-01 07:33:47,53.93,28.4,84.36,22,30.18,1.37,5.93,normal_demand
EV_8a00e997,ST007,2025-04-01 00:16:20,2025-04-01 06:41:48,66.32,42.13,88.88,11,31.01,2.82,3.61,normal_demand
EV_50a971b3,ST012,2025-04-01 00:17:30,2025-04-01 08:30:50,76.46,11.21,84.55,11,56.08,5.1,3.12,normal_demand
EV_10dbb72d,ST019,2025-04-01 00:20:43,2025-04-01 06:33:09,39.86,39.12,92.08,7,21.11,3.02,3.19,normal_demand
EV_5a018b6c,ST020,2025-04-01 00:22:15,2025-04-01 05:46:22,46.25,30.81,97.11,22,30.67,1.39,4.01,normal_demand
EV_c5ae8066,ST004,2025-04-01 00:23:53,2025-04-01 05:46:25,92.77,53.9,81.39,50,25.51,0.51,4.87,normal_demand
EV_99a5946d,ST017,2025-04-01 00:26:14,2025-04-01 09:21:02,48.95,20.68,96.91,7,37.32,5.33,3.58,normal_demand
EV_42c9f081,ST011,2025-04-01 00:29:38,2025-04-01 08:26:07,72.94,50.65,80.67,7,21.9,3.13,4.81,normal_demand
EV_6234e890,ST010,2025-04-01 00:33:30,2025-04-01 06:59:08,76.12,35.42,95.78,11,45.95,4.18,2.25,normal_demand
EV_e0799730,ST004,2025-04-01 00:35:00,2025-04-01 11:09:45,87.16,19.73,83.71,11,55.76,5.07,5.51,normal_demand
EV_675653d0,ST006,2025-04-01 00:36:30,2025-04-01 07:28:21,38.73,23.25,89.87,11,25.8,2.35,4.52,normal_demand
EV_9f07df29,ST017,2025-04-01 00:36:36,2025-04-01 05:03:44,43.46,14.28,95.96,22,35.5,1.61,2.84,normal_demand
EV_6bcc5ed7,ST009,2025-04-01 00:38:10,2025-04-01 06:26:25,32.56,47.75,98.05,50,16.38,0.33,5.48,normal_demand
EV_bff6fa62,ST005,2025-04-01 00:43:55,2025-04-01 07:44:48,40.73,17.51,92.22,7,30.43,4.35,2.67,normal_demand
EV_143d102c,ST015,2025-04-01 00:45:15,2025-04-01 09:10:34,41.83,19.59,98.3,7,32.92,4.7,3.72,normal_demand
EV_b04b8271,ST013,2025-04-01 00:49:31,2025-04-01 07:59:40,46.0,38.37,90.47,7,23.97,3.42,3.74,normal_demand
